Number,Name,Collection,Stats,User,Low,Suggested,High,Current,Current(adjusted),Share(current),Free Bet,Parlay,Monthly,ROI(monthly),ROI(no shares)
181,MMA ,Sports Rollbots·$568,$5.63·$44·114%,AyeZee,$1.09K,$1.84K,$3.1K,$1.4K,"=IFERROR(LEFT(I630,LEN(I630)-1)*10^(SEARCH(RIGHT(I630),""kmbt"")*3),I630)","=LEFT(D630,SEARCH(""·"",D630)-1)","=MID(D630,SEARCH(""·"",D630)+2,SEARCH(""·"",D630,SEARCH(""·"",D630)+1)-SEARCH(""·"",D630)-2)","=RIGHT(D630,4)",=K630+0.6*L630,=J630/N630,=J630/(0.6*L630)
8329,Soccer ,Sports Rollbots·$568,$9.03·$60·102%,Hidden,$759,$1.23K,$1.99K,$1.4K,"=IFERROR(LEFT(I631,LEN(I631)-1)*10^(SEARCH(RIGHT(I631),""kmbt"")*3),I631)","=LEFT(D631,SEARCH(""·"",D631)-1)","=MID(D631,SEARCH(""·"",D631)+2,SEARCH(""·"",D631,SEARCH(""·"",D631)+1)-SEARCH(""·"",D631)-2)","=RIGHT(D631,4)",=K631+0.6*L631,=J631/N631,=J631/(0.6*L631)
557,Soccer ,Sports Rollbots·$568,$4.51·$34·111%,omkadam,$951,$1.58K,$2.62K,$1.4K,"=IFERROR(LEFT(I632,LEN(I632)-1)*10^(SEARCH(RIGHT(I632),""kmbt"")*3),I632)","=LEFT(D632,SEARCH(""·"",D632)-1)","=MID(D632,SEARCH(""·"",D632)+2,SEARCH(""·"",D632,SEARCH(""·"",D632)+1)-SEARCH(""·"",D632)-2)","=RIGHT(D632,4)",=K632+0.6*L632,=J632/N632,=J632/(0.6*L632)
9565,FIFA ,Sports Rollbots·$568,$24.61·$44·102%,dgp107,$763,$1.23K,$2K,$1.4K,"=IFERROR(LEFT(I633,LEN(I633)-1)*10^(SEARCH(RIGHT(I633),""kmbt"")*3),I633)","=LEFT(D633,SEARCH(""·"",D633)-1)","=MID(D633,SEARCH(""·"",D633)+2,SEARCH(""·"",D633,SEARCH(""·"",D633)+1)-SEARCH(""·"",D633)-2)","=RIGHT(D633,4)",=K633+0.6*L633,=J633/N633,=J633/(0.6*L633)
5531,Soccer ,Sports Rollbots·$568,$9.03·$80·110%,Rockabyte,$1.03K,$1.72K,$2.87K,$1.4K,"=IFERROR(LEFT(I634,LEN(I634)-1)*10^(SEARCH(RIGHT(I634),""kmbt"")*3),I634)","=LEFT(D634,SEARCH(""·"",D634)-1)","=MID(D634,SEARCH(""·"",D634)+2,SEARCH(""·"",D634,SEARCH(""·"",D634)+1)-SEARCH(""·"",D634)-2)","=RIGHT(D634,4)",=K634+0.6*L634,=J634/N634,=J634/(0.6*L634)
1209,Soccer ,Sports Rollbots·$568,$9.03·$22·109%,Jaywsst,$878,$1.44K,$2.37K,$1.4K,"=IFERROR(LEFT(I635,LEN(I635)-1)*10^(SEARCH(RIGHT(I635),""kmbt"")*3),I635)","=LEFT(D635,SEARCH(""·"",D635)-1)","=MID(D635,SEARCH(""·"",D635)+2,SEARCH(""·"",D635,SEARCH(""·"",D635)+1)-SEARCH(""·"",D635)-2)","=RIGHT(D635,4)",=K635+0.6*L635,=J635/N635,=J635/(0.6*L635)
5864,FIFA ,Sports Rollbots·$568,$6.15·$34·109%,Jaywsst,$911,$1.5K,$2.48K,$1.4K,"=IFERROR(LEFT(I636,LEN(I636)-1)*10^(SEARCH(RIGHT(I636),""kmbt"")*3),I636)","=LEFT(D636,SEARCH(""·"",D636)-1)","=MID(D636,SEARCH(""·"",D636)+2,SEARCH(""·"",D636,SEARCH(""·"",D636)+1)-SEARCH(""·"",D636)-2)","=RIGHT(D636,4)",=K636+0.6*L636,=J636/N636,=J636/(0.6*L636)
9782,League of Legends ,Sports Rollbots·$568,$1.38·$42·105%,CukrowyTatus,$806,$1.31K,$2.14K,$1.4K,"=IFERROR(LEFT(I637,LEN(I637)-1)*10^(SEARCH(RIGHT(I637),""kmbt"")*3),I637)","=LEFT(D637,SEARCH(""·"",D637)-1)","=MID(D637,SEARCH(""·"",D637)+2,SEARCH(""·"",D637,SEARCH(""·"",D637)+1)-SEARCH(""·"",D637)-2)","=RIGHT(D637,4)",=K637+0.6*L637,=J637/N637,=J637/(0.6*L637)
64,Handball ,Sports Rollbots·$568,$1.17·$38·121%,AyeZee,$1.36K,$2.35K,$4.05K,$1.4K,"=IFERROR(LEFT(I638,LEN(I638)-1)*10^(SEARCH(RIGHT(I638),""kmbt"")*3),I638)","=LEFT(D638,SEARCH(""·"",D638)-1)","=MID(D638,SEARCH(""·"",D638)+2,SEARCH(""·"",D638,SEARCH(""·"",D638)+1)-SEARCH(""·"",D638)-2)","=RIGHT(D638,4)",=K638+0.6*L638,=J638/N638,=J638/(0.6*L638)
6210,Soccer ,Sports Rollbots·$568,$4.51·$22·107%,Manuel1409,$814,$1.33K,$2.16K,$1.4K,"=IFERROR(LEFT(I639,LEN(I639)-1)*10^(SEARCH(RIGHT(I639),""kmbt"")*3),I639)","=LEFT(D639,SEARCH(""·"",D639)-1)","=MID(D639,SEARCH(""·"",D639)+2,SEARCH(""·"",D639,SEARCH(""·"",D639)+1)-SEARCH(""·"",D639)-2)","=RIGHT(D639,4)",=K639+0.6*L639,=J639/N639,=J639/(0.6*L639)
8613,MMA ,Sports Rollbots·$568,$2.82·$80·111%,AyeZee,$1.06K,$1.79K,$3K,$1.4K,"=IFERROR(LEFT(I640,LEN(I640)-1)*10^(SEARCH(RIGHT(I640),""kmbt"")*3),I640)","=LEFT(D640,SEARCH(""·"",D640)-1)","=MID(D640,SEARCH(""·"",D640)+2,SEARCH(""·"",D640,SEARCH(""·"",D640)+1)-SEARCH(""·"",D640)-2)","=RIGHT(D640,4)",=K640+0.6*L640,=J640/N640,=J640/(0.6*L640)
1176,FIFA ,Sports Rollbots·$568,$18.45·$22·112%,ndimattina,$993,$1.66K,$2.76K,$1.4K,"=IFERROR(LEFT(I641,LEN(I641)-1)*10^(SEARCH(RIGHT(I641),""kmbt"")*3),I641)","=LEFT(D641,SEARCH(""·"",D641)-1)","=MID(D641,SEARCH(""·"",D641)+2,SEARCH(""·"",D641,SEARCH(""·"",D641)+1)-SEARCH(""·"",D641)-2)","=RIGHT(D641,4)",=K641+0.6*L641,=J641/N641,=J641/(0.6*L641)
1511,MMA ,Sports Rollbots·$568,$2.82·$22·109%,Imadmekkaoui7,$883,$1.45K,$2.39K,$1.4K,"=IFERROR(LEFT(I642,LEN(I642)-1)*10^(SEARCH(RIGHT(I642),""kmbt"")*3),I642)","=LEFT(D642,SEARCH(""·"",D642)-1)","=MID(D642,SEARCH(""·"",D642)+2,SEARCH(""·"",D642,SEARCH(""·"",D642)+1)-SEARCH(""·"",D642)-2)","=RIGHT(D642,4)",=K642+0.6*L642,=J642/N642,=J642/(0.6*L642)
2642,Soccer ,Sports Rollbots·$568,$18.06·$60·111%,JaxDraper,$1.03K,$1.73K,$2.89K,$1.42K,"=IFERROR(LEFT(I643,LEN(I643)-1)*10^(SEARCH(RIGHT(I643),""kmbt"")*3),I643)","=LEFT(D643,SEARCH(""·"",D643)-1)","=MID(D643,SEARCH(""·"",D643)+2,SEARCH(""·"",D643,SEARCH(""·"",D643)+1)-SEARCH(""·"",D643)-2)","=RIGHT(D643,4)",=K643+0.6*L643,=J643/N643,=J643/(0.6*L643)
171,MMA ,Sports Rollbots·$568,$1.41·$24·105%,tr1cksgh0st,$765,$1.24K,$2.01K,$1.42K,"=IFERROR(LEFT(I644,LEN(I644)-1)*10^(SEARCH(RIGHT(I644),""kmbt"")*3),I644)","=LEFT(D644,SEARCH(""·"",D644)-1)","=MID(D644,SEARCH(""·"",D644)+2,SEARCH(""·"",D644,SEARCH(""·"",D644)+1)-SEARCH(""·"",D644)-2)","=RIGHT(D644,4)",=K644+0.6*L644,=J644/N644,=J644/(0.6*L644)
4754,Alpine Skiing ,Sports Rollbots·$568,$1.05·$36·119%,SFBC 🐸 Pepega Gangsta,$1.37K,$2.36K,$4.07K,$1.44K,"=IFERROR(LEFT(I645,LEN(I645)-1)*10^(SEARCH(RIGHT(I645),""kmbt"")*3),I645)","=LEFT(D645,SEARCH(""·"",D645)-1)","=MID(D645,SEARCH(""·"",D645)+2,SEARCH(""·"",D645,SEARCH(""·"",D645)+1)-SEARCH(""·"",D645)-2)","=RIGHT(D645,4)",=K645+0.6*L645,=J645/N645,=J645/(0.6*L645)
1449,MMA ,Sports Rollbots·$568,$5.63·$20·109%,JritchieJ,$890,$1.47K,$2.41K,$1.45K,"=IFERROR(LEFT(I646,LEN(I646)-1)*10^(SEARCH(RIGHT(I646),""kmbt"")*3),I646)","=LEFT(D646,SEARCH(""·"",D646)-1)","=MID(D646,SEARCH(""·"",D646)+2,SEARCH(""·"",D646,SEARCH(""·"",D646)+1)-SEARCH(""·"",D646)-2)","=RIGHT(D646,4)",=K646+0.6*L646,=J646/N646,=J646/(0.6*L646)
