Number,Name,Collection,Stats,User,Low,Suggested,High,Current,Current(adjusted),Share(current),Free Bet,Parlay,Monthly,ROI(monthly),ROI(no shares)
7900,American Football ,Sports Rollbots·$568,$2.12·$55·103%,Cougar Fox,$783,$1.27K,$2.06K,$875,"=IFERROR(LEFT(I237,LEN(I237)-1)*10^(SEARCH(RIGHT(I237),""kmbt"")*3),I237)","=LEFT(D237,SEARCH(""·"",D237)-1)","=MID(D237,SEARCH(""·"",D237)+2,SEARCH(""·"",D237,SEARCH(""·"",D237)+1)-SEARCH(""·"",D237)-2)","=RIGHT(D237,4)",=K237+0.6*L237,=J237/N237,=J237/(0.6*L237)
1801,Boxing ,Sports Rollbots·$568,$2.77·$40·105%,runtzonly,$805,$1.31K,$2.13K,$880,"=IFERROR(LEFT(I238,LEN(I238)-1)*10^(SEARCH(RIGHT(I238),""kmbt"")*3),I238)","=LEFT(D238,SEARCH(""·"",D238)-1)","=MID(D238,SEARCH(""·"",D238)+2,SEARCH(""·"",D238,SEARCH(""·"",D238)+1)-SEARCH(""·"",D238)-2)","=RIGHT(D238,4)",=K238+0.6*L238,=J238/N238,=J238/(0.6*L238)
7742,Rugby ,Sports Rollbots·$568,$4·$42·103%,Mishku,$805,$1.31K,$2.14K,$880,"=IFERROR(LEFT(I239,LEN(I239)-1)*10^(SEARCH(RIGHT(I239),""kmbt"")*3),I239)","=LEFT(D239,SEARCH(""·"",D239)-1)","=MID(D239,SEARCH(""·"",D239)+2,SEARCH(""·"",D239,SEARCH(""·"",D239)+1)-SEARCH(""·"",D239)-2)","=RIGHT(D239,4)",=K239+0.6*L239,=J239/N239,=J239/(0.6*L239)
1245,Soccer ,Sports Rollbots·$568,$9.03·$30·103%,Hidden,$725,$1.17K,$1.88K,$888,"=IFERROR(LEFT(I240,LEN(I240)-1)*10^(SEARCH(RIGHT(I240),""kmbt"")*3),I240)","=LEFT(D240,SEARCH(""·"",D240)-1)","=MID(D240,SEARCH(""·"",D240)+2,SEARCH(""·"",D240,SEARCH(""·"",D240)+1)-SEARCH(""·"",D240)-2)","=RIGHT(D240,4)",=K240+0.6*L240,=J240/N240,=J240/(0.6*L240)
9786,Formula 1 ,Sports Rollbots·$568,$2.4·$24·114%,Bunnie Brasco,$1.05K,$1.75K,$2.94K,$888,"=IFERROR(LEFT(I241,LEN(I241)-1)*10^(SEARCH(RIGHT(I241),""kmbt"")*3),I241)","=LEFT(D241,SEARCH(""·"",D241)-1)","=MID(D241,SEARCH(""·"",D241)+2,SEARCH(""·"",D241,SEARCH(""·"",D241)+1)-SEARCH(""·"",D241)-2)","=RIGHT(D241,4)",=K241+0.6*L241,=J241/N241,=J241/(0.6*L241)
6314,Cycling ,Sports Rollbots·$568,$3.06·$90·108%,Hidden,$1.18K,$2K,$3.39K,$890,"=IFERROR(LEFT(I242,LEN(I242)-1)*10^(SEARCH(RIGHT(I242),""kmbt"")*3),I242)","=LEFT(D242,SEARCH(""·"",D242)-1)","=MID(D242,SEARCH(""·"",D242)+2,SEARCH(""·"",D242,SEARCH(""·"",D242)+1)-SEARCH(""·"",D242)-2)","=RIGHT(D242,4)",=K242+0.6*L242,=J242/N242,=J242/(0.6*L242)
7708,Cricket ,Sports Rollbots·$568,$13.44·$32·105%,Hidden,$891,$1.47K,$2.42K,$895,"=IFERROR(LEFT(I243,LEN(I243)-1)*10^(SEARCH(RIGHT(I243),""kmbt"")*3),I243)","=LEFT(D243,SEARCH(""·"",D243)-1)","=MID(D243,SEARCH(""·"",D243)+2,SEARCH(""·"",D243,SEARCH(""·"",D243)+1)-SEARCH(""·"",D243)-2)","=RIGHT(D243,4)",=K243+0.6*L243,=J243/N243,=J243/(0.6*L243)
1339,Soccer ,Sports Rollbots·$568,$9.03·$48·101%,Frosstical,$704,$1.13K,$1.81K,$895,"=IFERROR(LEFT(I244,LEN(I244)-1)*10^(SEARCH(RIGHT(I244),""kmbt"")*3),I244)","=LEFT(D244,SEARCH(""·"",D244)-1)","=MID(D244,SEARCH(""·"",D244)+2,SEARCH(""·"",D244,SEARCH(""·"",D244)+1)-SEARCH(""·"",D244)-2)","=RIGHT(D244,4)",=K244+0.6*L244,=J244/N244,=J244/(0.6*L244)
1996,Golf ,Sports Rollbots·$568,$1.45·$44·102%,Hidden,$743,$1.2K,$1.94K,$896,"=IFERROR(LEFT(I245,LEN(I245)-1)*10^(SEARCH(RIGHT(I245),""kmbt"")*3),I245)","=LEFT(D245,SEARCH(""·"",D245)-1)","=MID(D245,SEARCH(""·"",D245)+2,SEARCH(""·"",D245,SEARCH(""·"",D245)+1)-SEARCH(""·"",D245)-2)","=RIGHT(D245,4)",=K245+0.6*L245,=J245/N245,=J245/(0.6*L245)
5198,League of Legends ,Sports Rollbots·$568,$4.15·$38·106%,Soaringdolphin,$844,$1.38K,$2.26K,$899,"=IFERROR(LEFT(I246,LEN(I246)-1)*10^(SEARCH(RIGHT(I246),""kmbt"")*3),I246)","=LEFT(D246,SEARCH(""·"",D246)-1)","=MID(D246,SEARCH(""·"",D246)+2,SEARCH(""·"",D246,SEARCH(""·"",D246)+1)-SEARCH(""·"",D246)-2)","=RIGHT(D246,4)",=K246+0.6*L246,=J246/N246,=J246/(0.6*L246)
3770,Ice Hockey ,Sports Rollbots·$568,$8.93·$28·104%,Yannick1034,$755,$1.22K,$1.97K,$899,"=IFERROR(LEFT(I247,LEN(I247)-1)*10^(SEARCH(RIGHT(I247),""kmbt"")*3),I247)","=LEFT(D247,SEARCH(""·"",D247)-1)","=MID(D247,SEARCH(""·"",D247)+2,SEARCH(""·"",D247,SEARCH(""·"",D247)+1)-SEARCH(""·"",D247)-2)","=RIGHT(D247,4)",=K247+0.6*L247,=J247/N247,=J247/(0.6*L247)
1530,Counter-Strike ,Sports Rollbots·$568,$9.31·$22·104%,Hidden,$733,$1.18K,$1.9K,$899,"=IFERROR(LEFT(I248,LEN(I248)-1)*10^(SEARCH(RIGHT(I248),""kmbt"")*3),I248)","=LEFT(D248,SEARCH(""·"",D248)-1)","=MID(D248,SEARCH(""·"",D248)+2,SEARCH(""·"",D248,SEARCH(""·"",D248)+1)-SEARCH(""·"",D248)-2)","=RIGHT(D248,4)",=K248+0.6*L248,=J248/N248,=J248/(0.6*L248)
1083,Cricket ,Sports Rollbots·$568,$1.34·$24·110%,B.76561198088539693,$923,$1.53K,$2.52K,$899,"=IFERROR(LEFT(I249,LEN(I249)-1)*10^(SEARCH(RIGHT(I249),""kmbt"")*3),I249)","=LEFT(D249,SEARCH(""·"",D249)-1)","=MID(D249,SEARCH(""·"",D249)+2,SEARCH(""·"",D249,SEARCH(""·"",D249)+1)-SEARCH(""·"",D249)-2)","=RIGHT(D249,4)",=K249+0.6*L249,=J249/N249,=J249/(0.6*L249)
5146,MMA ,Sports Rollbots·$568,$2.82·$42·101%,Yannick1034,$695,$1.11K,$1.78K,$899,"=IFERROR(LEFT(I250,LEN(I250)-1)*10^(SEARCH(RIGHT(I250),""kmbt"")*3),I250)","=LEFT(D250,SEARCH(""·"",D250)-1)","=MID(D250,SEARCH(""·"",D250)+2,SEARCH(""·"",D250,SEARCH(""·"",D250)+1)-SEARCH(""·"",D250)-2)","=RIGHT(D250,4)",=K250+0.6*L250,=J250/N250,=J250/(0.6*L250)
5000,Boxing ,Sports Rollbots·$568,$5.54·$70·103%,Cougar Fox,$813,$1.33K,$2.16K,$900,"=IFERROR(LEFT(I251,LEN(I251)-1)*10^(SEARCH(RIGHT(I251),""kmbt"")*3),I251)","=LEFT(D251,SEARCH(""·"",D251)-1)","=MID(D251,SEARCH(""·"",D251)+2,SEARCH(""·"",D251,SEARCH(""·"",D251)+1)-SEARCH(""·"",D251)-2)","=RIGHT(D251,4)",=K251+0.6*L251,=J251/N251,=J251/(0.6*L251)
9545,American Football ,Sports Rollbots·$568,$4.23·$40·102%,Cougar Fox,$738,$1.19K,$1.92K,$900,"=IFERROR(LEFT(I252,LEN(I252)-1)*10^(SEARCH(RIGHT(I252),""kmbt"")*3),I252)","=LEFT(D252,SEARCH(""·"",D252)-1)","=MID(D252,SEARCH(""·"",D252)+2,SEARCH(""·"",D252,SEARCH(""·"",D252)+1)-SEARCH(""·"",D252)-2)","=RIGHT(D252,4)",=K252+0.6*L252,=J252/N252,=J252/(0.6*L252)
3426,Basketball ,Sports Rollbots·$568,$17.55·$50·112%,SV22,$1.04K,$1.74K,$2.91K,$900,"=IFERROR(LEFT(I253,LEN(I253)-1)*10^(SEARCH(RIGHT(I253),""kmbt"")*3),I253)","=LEFT(D253,SEARCH(""·"",D253)-1)","=MID(D253,SEARCH(""·"",D253)+2,SEARCH(""·"",D253,SEARCH(""·"",D253)+1)-SEARCH(""·"",D253)-2)","=RIGHT(D253,4)",=K253+0.6*L253,=J253/N253,=J253/(0.6*L253)
3169,Handball ,Sports Rollbots·$568,$4.69·$26·109%,mastodoroki,$958,$1.59K,$2.64K,$900,"=IFERROR(LEFT(I254,LEN(I254)-1)*10^(SEARCH(RIGHT(I254),""kmbt"")*3),I254)","=LEFT(D254,SEARCH(""·"",D254)-1)","=MID(D254,SEARCH(""·"",D254)+2,SEARCH(""·"",D254,SEARCH(""·"",D254)+1)-SEARCH(""·"",D254)-2)","=RIGHT(D254,4)",=K254+0.6*L254,=J254/N254,=J254/(0.6*L254)
275,Basketball ,Sports Rollbots·$568,$5.85·$34·102%,AyeZee,$699,$1.12K,$1.8K,$900,"=IFERROR(LEFT(I255,LEN(I255)-1)*10^(SEARCH(RIGHT(I255),""kmbt"")*3),I255)","=LEFT(D255,SEARCH(""·"",D255)-1)","=MID(D255,SEARCH(""·"",D255)+2,SEARCH(""·"",D255,SEARCH(""·"",D255)+1)-SEARCH(""·"",D255)-2)","=RIGHT(D255,4)",=K255+0.6*L255,=J255/N255,=J255/(0.6*L255)
8539,Basketball ,Sports Rollbots·$568,$5.85·$40·101%,Hidden,$681,$1.09K,$1.74K,$900,"=IFERROR(LEFT(I256,LEN(I256)-1)*10^(SEARCH(RIGHT(I256),""kmbt"")*3),I256)","=LEFT(D256,SEARCH(""·"",D256)-1)","=MID(D256,SEARCH(""·"",D256)+2,SEARCH(""·"",D256,SEARCH(""·"",D256)+1)-SEARCH(""·"",D256)-2)","=RIGHT(D256,4)",=K256+0.6*L256,=J256/N256,=J256/(0.6*L256)
1603,American Football ,Sports Rollbots·$568,$1.06·$38·104%,Hidden,$766,$1.24K,$2.01K,$900,"=IFERROR(LEFT(I257,LEN(I257)-1)*10^(SEARCH(RIGHT(I257),""kmbt"")*3),I257)","=LEFT(D257,SEARCH(""·"",D257)-1)","=MID(D257,SEARCH(""·"",D257)+2,SEARCH(""·"",D257,SEARCH(""·"",D257)+1)-SEARCH(""·"",D257)-2)","=RIGHT(D257,4)",=K257+0.6*L257,=J257/N257,=J257/(0.6*L257)
2929,MMA ,Sports Rollbots·$568,$7.04·$22·121%,Rango88,$1.28K,$2.2K,$3.77K,$900,"=IFERROR(LEFT(I258,LEN(I258)-1)*10^(SEARCH(RIGHT(I258),""kmbt"")*3),I258)","=LEFT(D258,SEARCH(""·"",D258)-1)","=MID(D258,SEARCH(""·"",D258)+2,SEARCH(""·"",D258,SEARCH(""·"",D258)+1)-SEARCH(""·"",D258)-2)","=RIGHT(D258,4)",=K258+0.6*L258,=J258/N258,=J258/(0.6*L258)
6003,Counter-Strike ,Sports Rollbots·$568,$9.31·$38·111%,Hidden,$965,$1.6K,$2.66K,$900,"=IFERROR(LEFT(I259,LEN(I259)-1)*10^(SEARCH(RIGHT(I259),""kmbt"")*3),I259)","=LEFT(D259,SEARCH(""·"",D259)-1)","=MID(D259,SEARCH(""·"",D259)+2,SEARCH(""·"",D259,SEARCH(""·"",D259)+1)-SEARCH(""·"",D259)-2)","=RIGHT(D259,4)",=K259+0.6*L259,=J259/N259,=J259/(0.6*L259)
7614,American Football ,Sports Rollbots·$568,$1.06·$65·105%,Cougar Fox,$852,$1.4K,$2.29K,$900,"=IFERROR(LEFT(I260,LEN(I260)-1)*10^(SEARCH(RIGHT(I260),""kmbt"")*3),I260)","=LEFT(D260,SEARCH(""·"",D260)-1)","=MID(D260,SEARCH(""·"",D260)+2,SEARCH(""·"",D260,SEARCH(""·"",D260)+1)-SEARCH(""·"",D260)-2)","=RIGHT(D260,4)",=K260+0.6*L260,=J260/N260,=J260/(0.6*L260)
2927,Basketball ,Sports Rollbots·$568,$5.85·$30·105%,Zykie,$776,$1.26K,$2.04K,$900,"=IFERROR(LEFT(I261,LEN(I261)-1)*10^(SEARCH(RIGHT(I261),""kmbt"")*3),I261)","=LEFT(D261,SEARCH(""·"",D261)-1)","=MID(D261,SEARCH(""·"",D261)+2,SEARCH(""·"",D261,SEARCH(""·"",D261)+1)-SEARCH(""·"",D261)-2)","=RIGHT(D261,4)",=K261+0.6*L261,=J261/N261,=J261/(0.6*L261)
5467,Volleyball ,Sports Rollbots·$568,$12.6·$28·106%,Penior45,$853,$1.4K,$2.29K,$900,"=IFERROR(LEFT(I262,LEN(I262)-1)*10^(SEARCH(RIGHT(I262),""kmbt"")*3),I262)","=LEFT(D262,SEARCH(""·"",D262)-1)","=MID(D262,SEARCH(""·"",D262)+2,SEARCH(""·"",D262,SEARCH(""·"",D262)+1)-SEARCH(""·"",D262)-2)","=RIGHT(D262,4)",=K262+0.6*L262,=J262/N262,=J262/(0.6*L262)
1688,MMA ,Sports Rollbots·$568,$1.41·$20·110%,Hidden,$895,$1.47K,$2.43K,$900,"=IFERROR(LEFT(I263,LEN(I263)-1)*10^(SEARCH(RIGHT(I263),""kmbt"")*3),I263)","=LEFT(D263,SEARCH(""·"",D263)-1)","=MID(D263,SEARCH(""·"",D263)+2,SEARCH(""·"",D263,SEARCH(""·"",D263)+1)-SEARCH(""·"",D263)-2)","=RIGHT(D263,4)",=K263+0.6*L263,=J263/N263,=J263/(0.6*L263)
5061,Counter-Strike ,Sports Rollbots·$568,$9.31·$34·101%,Hidden,$670,$1.07K,$1.71K,$900,"=IFERROR(LEFT(I264,LEN(I264)-1)*10^(SEARCH(RIGHT(I264),""kmbt"")*3),I264)","=LEFT(D264,SEARCH(""·"",D264)-1)","=MID(D264,SEARCH(""·"",D264)+2,SEARCH(""·"",D264,SEARCH(""·"",D264)+1)-SEARCH(""·"",D264)-2)","=RIGHT(D264,4)",=K264+0.6*L264,=J264/N264,=J264/(0.6*L264)
3327,Soccer ,Sports Rollbots·$568,$13.54·$55·101%,Cougar Fox,$726,$1.17K,$1.88K,$900,"=IFERROR(LEFT(I265,LEN(I265)-1)*10^(SEARCH(RIGHT(I265),""kmbt"")*3),I265)","=LEFT(D265,SEARCH(""·"",D265)-1)","=MID(D265,SEARCH(""·"",D265)+2,SEARCH(""·"",D265,SEARCH(""·"",D265)+1)-SEARCH(""·"",D265)-2)","=RIGHT(D265,4)",=K265+0.6*L265,=J265/N265,=J265/(0.6*L265)
2873,League of Legends ,Sports Rollbots·$568,$6.92·$65·101%,Mewte2,$778,$1.26K,$2.05K,$900,"=IFERROR(LEFT(I266,LEN(I266)-1)*10^(SEARCH(RIGHT(I266),""kmbt"")*3),I266)","=LEFT(D266,SEARCH(""·"",D266)-1)","=MID(D266,SEARCH(""·"",D266)+2,SEARCH(""·"",D266,SEARCH(""·"",D266)+1)-SEARCH(""·"",D266)-2)","=RIGHT(D266,4)",=K266+0.6*L266,=J266/N266,=J266/(0.6*L266)
9947,Formula 1 ,Sports Rollbots·$568,$3.59·$30·106%,Hidden,$835,$1.37K,$2.23K,$900,"=IFERROR(LEFT(I267,LEN(I267)-1)*10^(SEARCH(RIGHT(I267),""kmbt"")*3),I267)","=LEFT(D267,SEARCH(""·"",D267)-1)","=MID(D267,SEARCH(""·"",D267)+2,SEARCH(""·"",D267,SEARCH(""·"",D267)+1)-SEARCH(""·"",D267)-2)","=RIGHT(D267,4)",=K267+0.6*L267,=J267/N267,=J267/(0.6*L267)
9082,League of Legends ,Sports Rollbots·$568,$2.77·$40·103%,McSady,$754,$1.22K,$1.97K,$900,"=IFERROR(LEFT(I268,LEN(I268)-1)*10^(SEARCH(RIGHT(I268),""kmbt"")*3),I268)","=LEFT(D268,SEARCH(""·"",D268)-1)","=MID(D268,SEARCH(""·"",D268)+2,SEARCH(""·"",D268,SEARCH(""·"",D268)+1)-SEARCH(""·"",D268)-2)","=RIGHT(D268,4)",=K268+0.6*L268,=J268/N268,=J268/(0.6*L268)
3147,Starcraft ,Sports Rollbots·$568,$2.33·$50·105%,JaxDraper,$955,$1.58K,$2.63K,$900,"=IFERROR(LEFT(I269,LEN(I269)-1)*10^(SEARCH(RIGHT(I269),""kmbt"")*3),I269)","=LEFT(D269,SEARCH(""·"",D269)-1)","=MID(D269,SEARCH(""·"",D269)+2,SEARCH(""·"",D269,SEARCH(""·"",D269)+1)-SEARCH(""·"",D269)-2)","=RIGHT(D269,4)",=K269+0.6*L269,=J269/N269,=J269/(0.6*L269)
6130,Golf ,Sports Rollbots·$568,$1.45·$40·103%,Hidden,$763,$1.23K,$2K,$902,"=IFERROR(LEFT(I270,LEN(I270)-1)*10^(SEARCH(RIGHT(I270),""kmbt"")*3),I270)","=LEFT(D270,SEARCH(""·"",D270)-1)","=MID(D270,SEARCH(""·"",D270)+2,SEARCH(""·"",D270,SEARCH(""·"",D270)+1)-SEARCH(""·"",D270)-2)","=RIGHT(D270,4)",=K270+0.6*L270,=J270/N270,=J270/(0.6*L270)
2086,League of Legends ,Sports Rollbots·$568,$1.38·$22·107%,Hidden,$820,$1.34K,$2.18K,$902,"=IFERROR(LEFT(I271,LEN(I271)-1)*10^(SEARCH(RIGHT(I271),""kmbt"")*3),I271)","=LEFT(D271,SEARCH(""·"",D271)-1)","=MID(D271,SEARCH(""·"",D271)+2,SEARCH(""·"",D271,SEARCH(""·"",D271)+1)-SEARCH(""·"",D271)-2)","=RIGHT(D271,4)",=K271+0.6*L271,=J271/N271,=J271/(0.6*L271)
5127,Basketball ,Sports Rollbots·$568,$17.55·$70·108%,Hidden,$954,$1.58K,$2.63K,$907,"=IFERROR(LEFT(I272,LEN(I272)-1)*10^(SEARCH(RIGHT(I272),""kmbt"")*3),I272)","=LEFT(D272,SEARCH(""·"",D272)-1)","=MID(D272,SEARCH(""·"",D272)+2,SEARCH(""·"",D272,SEARCH(""·"",D272)+1)-SEARCH(""·"",D272)-2)","=RIGHT(D272,4)",=K272+0.6*L272,=J272/N272,=J272/(0.6*L272)
5161,Ice Hockey ,Sports Rollbots·$568,$8.93·$42·102%,Hidden,$728,$1.17K,$1.89K,$911,"=IFERROR(LEFT(I273,LEN(I273)-1)*10^(SEARCH(RIGHT(I273),""kmbt"")*3),I273)","=LEFT(D273,SEARCH(""·"",D273)-1)","=MID(D273,SEARCH(""·"",D273)+2,SEARCH(""·"",D273,SEARCH(""·"",D273)+1)-SEARCH(""·"",D273)-2)","=RIGHT(D273,4)",=K273+0.6*L273,=J273/N273,=J273/(0.6*L273)
8128,Starcraft ,Sports Rollbots·$568,$1.16·$24·105%,Rollbot,$868,$1.43K,$2.34K,$915,"=IFERROR(LEFT(I274,LEN(I274)-1)*10^(SEARCH(RIGHT(I274),""kmbt"")*3),I274)","=LEFT(D274,SEARCH(""·"",D274)-1)","=MID(D274,SEARCH(""·"",D274)+2,SEARCH(""·"",D274,SEARCH(""·"",D274)+1)-SEARCH(""·"",D274)-2)","=RIGHT(D274,4)",=K274+0.6*L274,=J274/N274,=J274/(0.6*L274)
7528,MMA ,Sports Rollbots·$568,$7.04·$70·107%,Hidden,$947,$1.57K,$2.6K,$920,"=IFERROR(LEFT(I275,LEN(I275)-1)*10^(SEARCH(RIGHT(I275),""kmbt"")*3),I275)","=LEFT(D275,SEARCH(""·"",D275)-1)","=MID(D275,SEARCH(""·"",D275)+2,SEARCH(""·"",D275,SEARCH(""·"",D275)+1)-SEARCH(""·"",D275)-2)","=RIGHT(D275,4)",=K275+0.6*L275,=J275/N275,=J275/(0.6*L275)
3479,Counter-Strike ,Sports Rollbots·$568,$9.31·$24·108%,monjbaker,$851,$1.39K,$2.28K,$925,"=IFERROR(LEFT(I276,LEN(I276)-1)*10^(SEARCH(RIGHT(I276),""kmbt"")*3),I276)","=LEFT(D276,SEARCH(""·"",D276)-1)","=MID(D276,SEARCH(""·"",D276)+2,SEARCH(""·"",D276,SEARCH(""·"",D276)+1)-SEARCH(""·"",D276)-2)","=RIGHT(D276,4)",=K276+0.6*L276,=J276/N276,=J276/(0.6*L276)
6481,Baseball ,Sports Rollbots·$568,$19.37·$50·103%,Cougar Fox,$793,$1.29K,$2.09K,$925,"=IFERROR(LEFT(I277,LEN(I277)-1)*10^(SEARCH(RIGHT(I277),""kmbt"")*3),I277)","=LEFT(D277,SEARCH(""·"",D277)-1)","=MID(D277,SEARCH(""·"",D277)+2,SEARCH(""·"",D277,SEARCH(""·"",D277)+1)-SEARCH(""·"",D277)-2)","=RIGHT(D277,4)",=K277+0.6*L277,=J277/N277,=J277/(0.6*L277)
2137,Counter-Strike ,Sports Rollbots·$568,$9.31·$26·109%,Pacho,$883,$1.45K,$2.39K,$925,"=IFERROR(LEFT(I278,LEN(I278)-1)*10^(SEARCH(RIGHT(I278),""kmbt"")*3),I278)","=LEFT(D278,SEARCH(""·"",D278)-1)","=MID(D278,SEARCH(""·"",D278)+2,SEARCH(""·"",D278,SEARCH(""·"",D278)+1)-SEARCH(""·"",D278)-2)","=RIGHT(D278,4)",=K278+0.6*L278,=J278/N278,=J278/(0.6*L278)
2605,Cricket ,Sports Rollbots·$568,$4.03·$46·103%,Hidden,$793,$1.29K,$2.1K,$926,"=IFERROR(LEFT(I279,LEN(I279)-1)*10^(SEARCH(RIGHT(I279),""kmbt"")*3),I279)","=LEFT(D279,SEARCH(""·"",D279)-1)","=MID(D279,SEARCH(""·"",D279)+2,SEARCH(""·"",D279,SEARCH(""·"",D279)+1)-SEARCH(""·"",D279)-2)","=RIGHT(D279,4)",=K279+0.6*L279,=J279/N279,=J279/(0.6*L279)
8856,MMA ,Sports Rollbots·$568,$7.04·$26·110%,caothangdo1,$948,$1.57K,$2.61K,$930,"=IFERROR(LEFT(I280,LEN(I280)-1)*10^(SEARCH(RIGHT(I280),""kmbt"")*3),I280)","=LEFT(D280,SEARCH(""·"",D280)-1)","=MID(D280,SEARCH(""·"",D280)+2,SEARCH(""·"",D280,SEARCH(""·"",D280)+1)-SEARCH(""·"",D280)-2)","=RIGHT(D280,4)",=K280+0.6*L280,=J280/N280,=J280/(0.6*L280)
2135,Boxing ,Sports Rollbots·$568,$2.77·$38·109%,caothangdo1,$915,$1.51K,$2.5K,$930,"=IFERROR(LEFT(I281,LEN(I281)-1)*10^(SEARCH(RIGHT(I281),""kmbt"")*3),I281)","=LEFT(D281,SEARCH(""·"",D281)-1)","=MID(D281,SEARCH(""·"",D281)+2,SEARCH(""·"",D281,SEARCH(""·"",D281)+1)-SEARCH(""·"",D281)-2)","=RIGHT(D281,4)",=K281+0.6*L281,=J281/N281,=J281/(0.6*L281)
4384,Golf ,Sports Rollbots·$568,$2.89·$24·104%,Hidden,$766,$1.24K,$2.01K,$932,"=IFERROR(LEFT(I282,LEN(I282)-1)*10^(SEARCH(RIGHT(I282),""kmbt"")*3),I282)","=LEFT(D282,SEARCH(""·"",D282)-1)","=MID(D282,SEARCH(""·"",D282)+2,SEARCH(""·"",D282,SEARCH(""·"",D282)+1)-SEARCH(""·"",D282)-2)","=RIGHT(D282,4)",=K282+0.6*L282,=J282/N282,=J282/(0.6*L282)
672,Formula 1 ,Sports Rollbots·$568,$1.2·$20·106%,Hidden,$790,$1.28K,$2.08K,$936,"=IFERROR(LEFT(I283,LEN(I283)-1)*10^(SEARCH(RIGHT(I283),""kmbt"")*3),I283)","=LEFT(D283,SEARCH(""·"",D283)-1)","=MID(D283,SEARCH(""·"",D283)+2,SEARCH(""·"",D283,SEARCH(""·"",D283)+1)-SEARCH(""·"",D283)-2)","=RIGHT(D283,4)",=K283+0.6*L283,=J283/N283,=J283/(0.6*L283)
2721,Counter-Strike ,Sports Rollbots·$568,$18.63·$24·103%,Use Code SpankyCS3,$717,$1.15K,$1.85K,$945,"=IFERROR(LEFT(I284,LEN(I284)-1)*10^(SEARCH(RIGHT(I284),""kmbt"")*3),I284)","=LEFT(D284,SEARCH(""·"",D284)-1)","=MID(D284,SEARCH(""·"",D284)+2,SEARCH(""·"",D284,SEARCH(""·"",D284)+1)-SEARCH(""·"",D284)-2)","=RIGHT(D284,4)",=K284+0.6*L284,=J284/N284,=J284/(0.6*L284)
3720,Dota ,Sports Rollbots·$568,$7.07·$24·103%,Use Code SpankyCS3,$748,$1.21K,$1.95K,$945,"=IFERROR(LEFT(I285,LEN(I285)-1)*10^(SEARCH(RIGHT(I285),""kmbt"")*3),I285)","=LEFT(D285,SEARCH(""·"",D285)-1)","=MID(D285,SEARCH(""·"",D285)+2,SEARCH(""·"",D285,SEARCH(""·"",D285)+1)-SEARCH(""·"",D285)-2)","=RIGHT(D285,4)",=K285+0.6*L285,=J285/N285,=J285/(0.6*L285)
8905,MMA ,Sports Rollbots·$568,$2.82·$48·110%,Inori,$967,$1.61K,$2.67K,$948,"=IFERROR(LEFT(I286,LEN(I286)-1)*10^(SEARCH(RIGHT(I286),""kmbt"")*3),I286)","=LEFT(D286,SEARCH(""·"",D286)-1)","=MID(D286,SEARCH(""·"",D286)+2,SEARCH(""·"",D286,SEARCH(""·"",D286)+1)-SEARCH(""·"",D286)-2)","=RIGHT(D286,4)",=K286+0.6*L286,=J286/N286,=J286/(0.6*L286)
9016,NBA2K ,Sports Rollbots·$568,$5.04·$46·105%,Inori,$848,$1.39K,$2.27K,$948,"=IFERROR(LEFT(I287,LEN(I287)-1)*10^(SEARCH(RIGHT(I287),""kmbt"")*3),I287)","=LEFT(D287,SEARCH(""·"",D287)-1)","=MID(D287,SEARCH(""·"",D287)+2,SEARCH(""·"",D287,SEARCH(""·"",D287)+1)-SEARCH(""·"",D287)-2)","=RIGHT(D287,4)",=K287+0.6*L287,=J287/N287,=J287/(0.6*L287)
4945,MMA ,Sports Rollbots·$568,$7.04·$55·113%,Nagamanu,$1.1K,$1.86K,$3.14K,$950,"=IFERROR(LEFT(I288,LEN(I288)-1)*10^(SEARCH(RIGHT(I288),""kmbt"")*3),I288)","=LEFT(D288,SEARCH(""·"",D288)-1)","=MID(D288,SEARCH(""·"",D288)+2,SEARCH(""·"",D288,SEARCH(""·"",D288)+1)-SEARCH(""·"",D288)-2)","=RIGHT(D288,4)",=K288+0.6*L288,=J288/N288,=J288/(0.6*L288)
6412,Soccer ,Sports Rollbots·$568,$13.54·$30·101%,Bilkany,$673,$1.07K,$1.72K,$950,"=IFERROR(LEFT(I289,LEN(I289)-1)*10^(SEARCH(RIGHT(I289),""kmbt"")*3),I289)","=LEFT(D289,SEARCH(""·"",D289)-1)","=MID(D289,SEARCH(""·"",D289)+2,SEARCH(""·"",D289,SEARCH(""·"",D289)+1)-SEARCH(""·"",D289)-2)","=RIGHT(D289,4)",=K289+0.6*L289,=J289/N289,=J289/(0.6*L289)
9447,Soccer ,Sports Rollbots·$568,$18.06·$24·104%,AyeZee,$756,$1.22K,$1.98K,$950,"=IFERROR(LEFT(I290,LEN(I290)-1)*10^(SEARCH(RIGHT(I290),""kmbt"")*3),I290)","=LEFT(D290,SEARCH(""·"",D290)-1)","=MID(D290,SEARCH(""·"",D290)+2,SEARCH(""·"",D290,SEARCH(""·"",D290)+1)-SEARCH(""·"",D290)-2)","=RIGHT(D290,4)",=K290+0.6*L290,=J290/N290,=J290/(0.6*L290)
